央视频道,#genre#
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20260129112651234873cc9e4145faacb41ea8c6d80822&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260129112651&Channel_ID=0116_2600001300-99000-201600010013669&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=36.155.23.142&SecurityKey=20260129112651&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=fd2d16a54272f48ec4dccf579a67a643
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20260129112723c86dc6661b1147b9bf150ab81b757327&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260129112723&Channel_ID=0116_2600001300-99000-201600010013670&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=36.155.23.141&SecurityKey=20260129112723&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=bb3942c2b83f9ee5c1e77279ae2a933b
CCTV1综合,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv1hd/1200/index.m3u8?msisdn=20260129112754b5a8b6fcc5f24ce18664311de9ba3eaa&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20260129112754&Channel_ID=0116_2600001300-99000-201600010013671&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=36.155.23.140&SecurityKey=20260129112754&promotionId=&mvid=2201057821&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=36cc4d25762bf1efc87199cc35118d55
CCTV1综合,http://play.kankanlive.com/live/1698234869325962.m3u8
CCTV2财经,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv2hd/1500/index.m3u8?msisdn=202601291123114ac64c786be04528ad8e2aa1247e7429&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20260129112311&Channel_ID=0116_2600001300-99000-201600010013662&ProgramID=631780532&ParentNodeID=-99&assertID=5500346945&client_ip=36.155.23.149&SecurityKey=20260129112311&promotionId=&mvid=5101064231&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=286450cf0dfbe9208c85db83889c79b1
CCTV3综艺,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv3hd/2000/index.m3u8?msisdn=20260129112239aca9243f7fbb4f6da0bc20f644719851&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20260129112239&Channel_ID=0116_2600001300-99000-201600010013661&ProgramID=624878271&ParentNodeID=-99&assertID=5500212864&client_ip=36.155.23.150&SecurityKey=20260129112239&promotionId=&mvid=5100001683&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=68dbe268b6922fbd8fc101de28be62a5
CCTV4中文国际,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv4hd/1500/index.m3u8?msisdn=20260129112207c18b7e1bf9b64c4ea6a093fd91d4f7e5&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20260129112207&Channel_ID=0116_2600001300-99000-201600010013660&ProgramID=631780421&ParentNodeID=-99&assertID=5500346947&client_ip=36.155.23.151&SecurityKey=20260129112207&promotionId=&mvid=5101064235&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=23ab3dc13aa5f0606d1132274ba0d460
CCTV5体育,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5hdnew/1200/index.m3u8?msisdn=2026012911210544bb3563167949f9aedf1205e4ed0db2&mdspid=&spid=699004&netType=4&sid=5500516171&pid=2028597139&timestamp=20260129112105&Channel_ID=0116_2600001300-99000-201600010013658&ProgramID=641886683&ParentNodeID=-99&assertID=5500516171&client_ip=112.81.90.78&SecurityKey=20260129112105&promotionId=&mvid=5102048712&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b0b9a216ec329ce96b2f6065b08f336d
CCTV6电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv6hd/2000/index.m3u8?msisdn=2026012911203474d663720f344a2992522fc2ac06da7b&mdspid=&spid=699004&netType=4&sid=5500212872&pid=2028597139&timestamp=20260129112034&Channel_ID=0116_2600001300-99000-201600010013657&ProgramID=624878396&ParentNodeID=-99&assertID=5500212872&client_ip=112.81.90.179&SecurityKey=20260129112034&promotionId=&mvid=5100001694&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b59c955df49b67eee2a0be3dc83b02aa
CCTV7国防军事,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv7hd/51/index.m3u8?msisdn=202601291120030a4e35e5e220483e94bb87cf5c6b520a&mdspid=&spid=699004&netType=4&sid=5501083622&pid=2028597139&timestamp=20260129112003&Channel_ID=0116_2600001300-99000-201600010013656&ProgramID=673168121&ParentNodeID=-99&assertID=5501083622&client_ip=112.81.90.40&SecurityKey=20260129112003&promotionId=&mvid=5102910278&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ad069c1eaf4a35c2b434cfafc4a0edb5
CCTV8电视剧,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv8hd/2000/index.m3u8?msisdn=20260129111933157ebc680f36442aa3fb5b302079ccd7&mdspid=&spid=699004&netType=4&sid=5500212868&pid=2028597139&timestamp=20260129111933&Channel_ID=0116_2600001300-99000-201600010013655&ProgramID=624878356&ParentNodeID=-99&assertID=5500212868&client_ip=119.123.74.5&SecurityKey=20260129111933&promotionId=&mvid=5100001695&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=10ae5c19f39f6e44e4da6c691201e21e
CCTV9纪录,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv9hd/51/index.m3u8?msisdn=20260129111901908434c9bb9f4e90ad77bdb34494cd3f&mdspid=&spid=699004&netType=4&sid=5501083624&pid=2028597139&timestamp=20260129111901&Channel_ID=0116_2600001300-99000-201600010013654&ProgramID=673168140&ParentNodeID=-99&assertID=5501083624&client_ip=112.81.90.65&SecurityKey=20260129111901&promotionId=&mvid=5102910384&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b2e7d52c63d4ac0c1d84d4887b5c46b2
CCTV5+体育赛事,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/1200/index.m3u8?msisdn=202601291121369dbdbe1889a740eb819b999df420746e&mdspid=&spid=699004&netType=4&sid=5500516288&pid=2028597139&timestamp=20260129112136&Channel_ID=0116_2600001300-99000-201600010013659&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=36.155.23.152&SecurityKey=20260129112136&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=902faf8f16afd7855bf5183da2fc4923
CCTV10科教,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv10hd/2000/index.m3u8?msisdn=2026012911183177b3751d2fc443cda6e5f5a8fea4559e&mdspid=&spid=699004&netType=4&sid=5500212874&pid=2028597139&timestamp=20260129111831&Channel_ID=0116_2600001300-99000-201600010013653&ProgramID=624878405&ParentNodeID=-99&assertID=5500212874&client_ip=112.81.90.236&SecurityKey=20260129111831&promotionId=&mvid=5100001696&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=e83c82f9dff2e93372fdb5eb18a74717
CCTV11戏曲,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=20260129111800287b957a0ebd4edead1369677d325e6e&mdspid=&spid=699004&netType=4&sid=5500988610&pid=2028597139&timestamp=20260129111800&Channel_ID=0116_2600001300-99000-201600010013652&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=112.81.90.142&SecurityKey=20260129111800&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=c2f67cf1a62c7588ccbe000c64c8b9c2
CCTV12社会与法,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=2026012911172930b2ec0df5b744c4870102e6101c7318&mdspid=&spid=699004&netType=4&sid=5501083627&pid=2028597139&timestamp=20260129111729&Channel_ID=0116_2600001300-99000-201600010013651&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=112.81.90.70&SecurityKey=20260129111729&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=9bd722f2eefe8f935ac0e354a0dfce8e
CCTV13新闻,http://hlsztemgsplive.miguvideo.com:8080/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=20260129112343b0012cd92c4241b5a45f8ae35562dd8a&mdspid=&spid=699004&netType=4&sid=2202208864&pid=2028597139&timestamp=20260129112343&Channel_ID=0116_2600001300-99000-201600010013663&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=36.155.23.148&SecurityKey=20260129112343&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=53c85683ae77a83ed78a999f6d1d1efa
CCTV13新闻,http://hlsztemgsplive.miguvideo.com:8080/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=20260129112414348f786a78df4490b0309a3f886b5316&mdspid=&spid=699004&netType=4&sid=2202208864&pid=2028597139&timestamp=20260129112414&Channel_ID=0116_2600001300-99000-201600010013664&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=36.155.23.147&SecurityKey=20260129112414&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=346efc0c85878dfeeccbf1370749556f
CCTV13新闻,http://hlsztemgsplive.miguvideo.com:8080/envivo_x/2018/SD/cctv13/2000/index.m3u8?msisdn=20260129112445cdbed7ee9b7d4fbf9f0c303ed7ca9917&mdspid=&spid=699004&netType=4&sid=2202208864&pid=2028597139&timestamp=20260129112445&Channel_ID=0116_2600001300-99000-201600010013665&ProgramID=608807423&ParentNodeID=-99&assertID=2202208864&client_ip=36.155.23.146&SecurityKey=20260129112445&promotionId=&mvid=2202208864&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=10f8f9cb065aec3744157b27bbe63ba6
CCTV14少儿,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/2018/ocn/cctv14hd/2000/index.m3u8?msisdn=2026012911165937dfb556db984dfd9f02df35487738fa&mdspid=&spid=699004&netType=4&sid=5500212875&pid=2028597139&timestamp=20260129111659&Channel_ID=0116_2600001300-99000-201600010013650&ProgramID=624878440&ParentNodeID=-99&assertID=5500212875&client_ip=112.81.90.160&SecurityKey=20260129111659&promotionId=&mvid=5100001697&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=c0b7fb78494dc381bb0f4501a7bad9cb
CCTV15音乐,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv15hd/51/index.m3u8?msisdn=20260129111628d2a14fa7c50c428eb07283cc3c22c951&mdspid=&spid=699004&netType=4&sid=5501083628&pid=2028597139&timestamp=20260129111628&Channel_ID=0116_2600001300-99000-201600010013649&ProgramID=673168223&ParentNodeID=-99&assertID=5501083628&client_ip=112.81.90.208&SecurityKey=20260129111628&promotionId=&mvid=5102910391&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=ac8dfda004db92351f82984425df98ee
CCTV17农业农村,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20200324/cctv17hd/51/index.m3u8?msisdn=20260129111557db1414b1c53b4ea4a1ef5b6f75e1d2db&mdspid=&spid=699004&netType=4&sid=5501083631&pid=2028597139&timestamp=20260129111557&Channel_ID=0116_2600001300-99000-201600010013648&ProgramID=673168256&ParentNodeID=-99&assertID=5501083631&client_ip=112.81.90.50&SecurityKey=20260129111557&promotionId=&mvid=5102910396&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=748f7421f51757810f93ccb18834ffd3
卫视频道,#genre#
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel01720Plxw.m3u8
江苏卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/jiangsuhd/1200/index.m3u8?msisdn=202601291114567f9c5af490af4d5ab0b30840c9773df6&mdspid=&spid=699067&netType=4&sid=5500199408&pid=2028597139&timestamp=20260129111456&Channel_ID=0116_2600001300-99000-201600010013646&ProgramID=623899368&ParentNodeID=-99&assertID=5500199408&client_ip=58.218.208.176&SecurityKey=20260129111456&promotionId=&mvid=5100156802&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=b3bf28c0e7a19edd7f0f63f683092d95
东方卫视,http://hlsztemgsplive.miguvideo.com:8080/wd_r4/dfl/dongfangwshd/1200/index.m3u8?msisdn=2026012911152703f532f72cd7455cbd39babe6c117de1&mdspid=&spid=600697&netType=4&sid=5910022185&pid=2028597139&timestamp=20260129111527&Channel_ID=0116_2600001300-99000-201600010013647&ProgramID=651632648&ParentNodeID=-99&assertID=5910022185&client_ip=58.218.208.161&SecurityKey=20260129111527&promotionId=&mvid=5100043384&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=1971e2643534720bd940c5d201c9865d
广东卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/gdwshd265/54/20200407/index.m3u8?msisdn=20260129063015ccd1a1bfa7c74b8eb3fb1b68f151273b&mdspid=&spid=699054&netType=4&sid=2202428795&pid=2028597139&timestamp=20260129063015&Channel_ID=0116_2600001300-99000-201600010013615&ProgramID=608831231&ParentNodeID=-99&assertID=2202428795&client_ip=171.35.100.71&SecurityKey=20260129063015&promotionId=&mvid=2202428795&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h265&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=5c4cc2684c9d5f2872c77e675ed744f2
北京卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/bjws/51/20251127/index.m3u8?msisdn=202601291114261d199188fd2e4ed693aa5f648afa330f&mdspid=&spid=600697&netType=4&sid=5910022306&pid=2028597139&timestamp=20260129111426&Channel_ID=0116_2600001300-99000-201600010013645&ProgramID=630287636&ParentNodeID=-99&assertID=5910022306&client_ip=36.134.81.67&SecurityKey=20260129111426&promotionId=&mvid=5101042960&mcid=500020&playurlVersion=ZQ-A1-9.1.1.3-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=43e4681a7a23cd9c97081f3142822922
